"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","education_level","household_size","monthly_income_bdt","land_ownership","climate_shocks_experienced","crop_loss_last3yrs","livelihood_disrupted","years_in_programme","attended_climate_training","adaptation_practices_score_baseline","adaptation_practices_score_endline","resilience_index_baseline","resilience_index_endline","access_early_warning_baseline","access_early_warning_endline","women_decision_making_baseline","women_decision_making_endline","livelihood_sources_baseline","livelihood_sources_endline","wcrc_functionality","satisfaction_score","savings_monthly_bdt","food_security","climate_knowledge_score"
"COR-0012",2024-11-01,"Bandarban","Rowangchhari","Women's Climate Resilience Committee (WCRC)",40,"Female","Khyang","Primary (Class 1-5)",5,11385,"No","Erratic Rainfall","No","No",3,"No",4,6,34,44,"No","Yes","Rarely","Often",4,1,3,5,2261,"Mildly Food Insecure",9
"COR-0013",2024-09-10,"Bandarban","Bandarban Sadar","Village Women Group (VWG)",45,"Female","Bawm","Secondary (Class 6-10)",4,14784,"Yes","Erratic Rainfall","Yes","Yes",4,"Yes",3,4,17,42,"No","Yes","Never","Often",3,4,NA,3,0,"Mildly Food Insecure",20
"COR-0014",2024-11-09,"Khagrachari","Khagrachari Sadar","Women's Climate Resilience Committee (WCRC)",38,"Female","Chakma","HSC/Equivalent",2,13838,"Yes","Flash Flood","No","No",2,"Yes",3,6,36,44,"Yes","Yes","Sometimes","Always",2,3,3,5,1479,"Food Secure",9
"COR-0015",2024-11-25,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",40,"Female","Marma","Primary (Class 1-5)",2,9928,"No","Landslide","Yes","Yes",4,"Yes",4,5,50,70,"Yes","No","Rarely","Often",2,3,NA,4,2145,"Food Secure",17
"COR-0016",2024-10-23,"Bandarban","Ruma","Youth Group",24,"Female","Chakma","Secondary (Class 6-10)",3,12363,"Yes","Flash Flood","No","Yes",3,"Yes",4,5,44,64,"No","No","Sometimes","Sometimes",5,4,NA,4,1184,"Moderately Food Insecure",18
"COR-0017",2024-09-29,"Rangamati","Rajasthali","Women's Climate Resilience Committee (WCRC)",27,"Female","Tripura","SSC/Equivalent",2,16199,"No","Landslide","Yes","No",4,"Yes",2,3,48,65,"No","Yes","Rarely","Sometimes",1,2,5,4,0,"Moderately Food Insecure",5
"COR-0018",2024-11-23,"Bandarban","Alikadam","Village Women Group (VWG)",38,"Female","Marma","No formal education",7,16090,"No","None","No","No",1,"Yes",1,2,28,30,"No","Yes","Rarely","Rarely",3,4,NA,3,520,"Severely Food Insecure",20
"COR-0019",2024-11-16,"Rangamati","Rajasthali","Local Government Representative",44,"Female","Chakma","HSC/Equivalent",6,13050,"Yes","Landslide","Yes","Yes",3,"No",3,7,35,50,"No","Yes","Sometimes","Sometimes",4,2,NA,4,2475,"Mildly Food Insecure",10
"COR-0020",2024-11-19,"Rangamati","Rajasthali","Youth Group",21,"Male","Tanchangya","No formal education",4,6320,"Yes","Drought","Yes","No",3,"Yes",3,5,57,64,"No","Yes","Often","Sometimes",5,4,NA,5,2360,"Food Secure",12
"COR-0021",2024-11-24,"Rangamati","Rajasthali","Village Women Group (VWG)",40,"Female","Bengali","Secondary (Class 6-10)",6,13497,"No","None","No","No",1,"No",5,5,42,48,"No","Yes","Sometimes","Always",1,2,NA,4,2198,"Food Secure",17
"COR-0022",2024-09-29,"Rangamati","Kaptai","Village Women Group (VWG)",36,"Female","Khyang","Secondary (Class 6-10)",6,16723,"Yes","Landslide","Yes","No",3,"Yes",2,4,45,57,"No","Yes","Never","Often",1,3,NA,3,2828,"Food Secure",15
"COR-0023",2024-09-12,"Khagrachari","Khagrachari Sadar","Community Stakeholder",30,"Female","Tripura","Graduate and above",7,16681,"Yes","Erratic Rainfall","Yes","Yes",2,"Yes",6,7,21,27,"No","Yes","Often","Often",3,4,NA,4,1218,"Moderately Food Insecure",15
"COR-0024",2024-09-02,"Bandarban","Ruma","Local Government Representative",34,"Female","Khyang","Graduate and above",3,13604,"Yes","Landslide","No","No",4,"No",2,4,15,31,"No","Yes","Often","Always",1,2,NA,4,2255,"Moderately Food Insecure",16
"COR-0025",2024-11-18,"Bandarban","Alikadam","Women's Climate Resilience Committee (WCRC)",37,"Female","Marma","No formal education",4,18445,"Yes","Multiple","Yes","Yes",3,"Yes",3,5,48,59,"No","Yes","Rarely","Sometimes",1,5,5,5,1719,"Mildly Food Insecure",14
"COR-0026",2024-10-11,"Rangamati","Kaptai","Local Government Representative",44,"Male","Khumi","Secondary (Class 6-10)",7,10264,"Yes","None","No","No",4,"No",8,10,42,60,"No","Yes","Often","Often",5,1,NA,4,1304,"Food Secure",17
"COR-0027",2024-10-10,"Khagrachari","Lakshmichhari","Village Women Group (VWG)",30,"Female","Chakma","No formal education",3,20371,"No","Landslide","Yes","No",3,"Yes",4,5,42,55,"No","Yes","Rarely","Often",3,1,NA,4,2094,"Mildly Food Insecure",15
"COR-0028",2024-09-02,"Bandarban","Bandarban Sadar","Local Government Representative",34,"Female","Khumi","Secondary (Class 6-10)",6,15164,"No","Drought","Yes","Yes",2,"Yes",3,4,44,47,"No","No","Rarely","Often",1,2,NA,5,0,"Food Secure",11
"COR-0029",2024-10-12,"Rangamati","Barkal","Women's Climate Resilience Committee (WCRC)",34,"Female","Bawm","Primary (Class 1-5)",6,11216,"No","None","Yes","No",1,"Yes",4,5,23,28,"No","Yes","Often","Sometimes",1,5,3,4,3319,"Mildly Food Insecure",15
"COR-0030",2024-10-08,"Rangamati","Kaptai","Village Women Group (VWG)",40,"Female","Murung","Primary (Class 1-5)",5,11314,"No","Flash Flood","No","Yes",3,"Yes",4,6,44,56,"Yes","Yes","Sometimes","Rarely",2,3,NA,3,0,"Moderately Food Insecure",17
"COR-0031",2024-09-06,"Khagrachari","Panchhari","Women's Climate Resilience Committee (WCRC)",41,"Female","Tripura","SSC/Equivalent",4,10733,"Yes","Multiple","Yes","Yes",4,"Yes",1,4,41,49,"No","Yes","Rarely","Sometimes",1,1,5,3,901,"Moderately Food Insecure",17
"COR-0032",2024-10-26,"Rangamati","Naniarchar","Women's Climate Resilience Committee (WCRC)",37,"Female","Chakma","HSC/Equivalent",5,12325,"No","Erratic Rainfall","Yes","Yes",3,"Yes",3,7,31,37,"No","No","Rarely","Always",4,1,2,4,3256,"Food Secure",9
"COR-0033",2024-10-12,"Rangamati","Barkal","Youth Group",23,"Female","Marma","Primary (Class 1-5)",5,9575,"No","Multiple","No","No",4,"Yes",3,6,37,56,"No","Yes","Never","Often",1,4,NA,4,1420,"Food Secure",19
"COR-0034",2024-10-24,"Bandarban","Ruma","Women's Climate Resilience Committee (WCRC)",34,"Female","Marma","SSC/Equivalent",4,10400,"No","Multiple","Yes","Yes",4,"Yes",4,8,53,79,"Yes","No","Rarely","Always",1,4,3,4,0,"Mildly Food Insecure",19
"COR-0035",2024-09-14,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",41,"Female","Bengali","Primary (Class 1-5)",3,10001,"No","Flash Flood","No","Yes",4,"No",4,8,36,56,"No","No","Never","Rarely",3,1,NA,4,1257,"Food Secure",14
"COR-0036",2024-10-02,"Khagrachari","Khagrachari Sadar","Youth Group",18,"Male","Chakma","Primary (Class 1-5)",4,17123,"Yes","Landslide","No","Yes",2,"Yes",4,5,34,36,"No","Yes","Rarely","Sometimes",1,3,NA,3,3757,"Severely Food Insecure",13
"COR-0037",2024-11-19,"Rangamati","Baghaichhari","Village Women Group (VWG)",38,"Female","Tanchangya","No formal education",5,11366,"Yes","Multiple","No","Yes",2,"Yes",1,4,36,44,"Yes","No","Sometimes","Often",2,4,NA,4,0,"Mildly Food Insecure",16
"COR-0038",2024-11-17,"Bandarban","Rowangchhari","Women's Climate Resilience Committee (WCRC)",28,"Female","Khyang","Graduate and above",3,13635,"No","Flash Flood","No","No",1,"No",3,4,19,24,"No","Yes","Never","Rarely",1,1,5,5,1844,"Food Secure",12
"COR-0039",2024-09-14,"Rangamati","Baghaichhari","Women's Climate Resilience Committee (WCRC)",50,"Female","Khumi","Secondary (Class 6-10)",3,10706,"No","Multiple","Yes","No",2,"Yes",3,5,25,36,"No","Yes","Never","Often",2,5,3,4,0,"Moderately Food Insecure",7
"COR-0040",2024-09-09,"Khagrachari","Mahalchhari","Community Stakeholder",39,"Female","Tripura","Primary (Class 1-5)",5,10767,"No","Drought","Yes","Yes",3,"No",3,5,22,25,"No","Yes","Rarely","Always",5,4,NA,5,0,"Mildly Food Insecure",19
"COR-0041",2024-09-12,"Bandarban","Bandarban Sadar","Village Women Group (VWG)",40,"Female","Chakma","Primary (Class 1-5)",6,8291,"No","Erratic Rainfall","No","No",3,"Yes",3,6,38,47,"No","Yes","Rarely","Sometimes",1,1,NA,5,0,"Food Secure",12
"COR-0042",2024-10-29,"Bandarban","Bandarban Sadar","Women's Climate Resilience Committee (WCRC)",19,"Female","Marma","SSC/Equivalent",4,8305,"No","Erratic Rainfall","Yes","No",3,"No",5,7,28,37,"No","No","Rarely","Sometimes",2,1,4,4,1107,"Mildly Food Insecure",19
"COR-0043",2024-10-03,"Khagrachari","Dighinala","Village Women Group (VWG)",49,"Female","Tripura","HSC/Equivalent",4,13658,"Yes","Multiple","No","No",1,"Yes",4,4,54,60,"No","No","Rarely","Often",4,5,NA,4,0,"Food Secure",11
"COR-0044",2024-09-17,"Khagrachari","Lakshmichhari","Women's Climate Resilience Committee (WCRC)",44,"Female","Marma","Secondary (Class 6-10)",5,11462,"Yes","Flash Flood","Yes","No",2,"Yes",5,6,32,39,"Yes","Yes","Never","Often",1,2,5,4,1709,"Mildly Food Insecure",19
"COR-0045",2024-09-16,"Bandarban","Alikadam","Women's Climate Resilience Committee (WCRC)",37,"Female","Marma","SSC/Equivalent",5,12403,"Yes","Landslide","Yes","Yes",2,"Yes",3,4,55,69,"No","Yes","Rarely","Sometimes",5,5,5,3,0,"Moderately Food Insecure",18
"COR-0046",2024-11-18,"Khagrachari","Mahalchhari","Village Women Group (VWG)",31,"Female","Chakma","HSC/Equivalent",4,13650,"Yes","Multiple","Yes","Yes",2,"Yes",3,4,50,55,"Yes","No","Rarely","Always",4,3,NA,4,0,"Moderately Food Insecure",15
"COR-0047",2024-10-11,"Khagrachari","Panchhari","Youth Group",22,"Male","Chakma","Secondary (Class 6-10)",3,7379,"Yes","Landslide","Yes","Yes",4,"No",4,7,75,89,"No","Yes","Never","Sometimes",2,2,NA,4,0,"Food Secure",10
"COR-0048",2024-11-18,"Rangamati","Barkal","Village Women Group (VWG)",48,"Female","Pangkhua","No formal education",5,14351,"Yes","Erratic Rainfall","No","Yes",2,"Yes",3,5,52,56,"No","No","Sometimes","Always",1,3,NA,4,1271,"Severely Food Insecure",12
"COR-0049",2024-09-27,"Khagrachari","Dighinala","Village Women Group (VWG)",45,"Female","Chakma","No formal education",6,18952,"Yes","Flash Flood","No","Yes",4,"Yes",4,9,59,78,"No","Yes","Never","Sometimes",1,4,NA,3,1537,"Mildly Food Insecure",9
"COR-0050",2024-10-06,"Khagrachari","Dighinala","Community Stakeholder",43,"Male","Chakma","Secondary (Class 6-10)",4,12955,"Yes","Flash Flood","No","No",4,"No",4,7,19,38,"No","No","Rarely","Rarely",1,5,NA,5,0,"Food Secure",13
"COR-0051",2024-09-17,"Rangamati","Rajasthali","Community Stakeholder",41,"Female","Chakma","Graduate and above",4,3963,"No","Landslide","Yes","No",2,"No",4,5,41,51,"No","Yes","Sometimes","Always",2,6,NA,5,0,"Moderately Food Insecure",18
"COR-0052",2024-09-14,"Bandarban","Alikadam","Village Women Group (VWG)",34,"Female","Khumi","No formal education",5,7426,"No","Landslide","No","Yes",3,"Yes",4,7,39,49,"No","No","Sometimes","Sometimes",4,2,NA,2,0,"Mildly Food Insecure",16
"COR-0053",2024-11-04,"Khagrachari","Khagrachari Sadar","Women's Climate Resilience Committee (WCRC)",34,"Female","Tripura","SSC/Equivalent",4,6200,"Yes","Erratic Rainfall","Yes","No",3,"Yes",4,7,46,59,"No","No","Rarely","Sometimes",2,3,3,5,2310,"Food Secure",11
"COR-0054",2024-11-23,"Khagrachari","Dighinala","Youth Group",22,"Female","Marma","HSC/Equivalent",6,9782,"Yes","Drought","Yes","Yes",3,"Yes",3,5,52,69,"No","Yes","Never","Sometimes",1,2,NA,5,0,"Food Secure",12
"COR-0055",2024-10-08,"Bandarban","Thanchi","Women's Climate Resilience Committee (WCRC)",28,"Female","Marma","HSC/Equivalent",5,11055,"No","Landslide","Yes","Yes",1,"Yes",5,6,46,50,"Yes","Yes","Rarely","Always",4,2,2,3,0,"Severely Food Insecure",15
"COR-0056",2024-10-26,"Bandarban","Alikadam","Youth Group",22,"Female","Bengali","Primary (Class 1-5)",6,9989,"No","Erratic Rainfall","No","No",4,"Yes",3,5,36,49,"No","Yes","Never","Never",2,2,NA,4,1816,"Severely Food Insecure",15
"COR-0057",2024-10-29,"Rangamati","Naniarchar","Village Women Group (VWG)",38,"Female","Marma","Secondary (Class 6-10)",4,13029,"No","Flash Flood","No","No",3,"No",5,6,45,61,"Yes","No","Sometimes","Never",1,2,NA,4,2113,"Severely Food Insecure",19
"COR-0058",2024-09-10,"Rangamati","Naniarchar","Women's Climate Resilience Committee (WCRC)",42,"Female","Chakma","Secondary (Class 6-10)",6,9374,"No","Multiple","No","Yes",4,"Yes",3,8,42,59,"No","Yes","Never","Often",2,1,3,5,0,"Food Secure",13
"COR-0059",2024-10-13,"Khagrachari","Mahalchhari","Village Women Group (VWG)",28,"Female","Khyang","Secondary (Class 6-10)",7,7763,"No","Multiple","Yes","No",3,"No",4,7,40,50,"No","Yes","Always","Rarely",4,5,NA,5,2621,"Mildly Food Insecure",13
"COR-0060",2024-10-19,"Rangamati","Naniarchar","Women's Climate Resilience Committee (WCRC)",37,"Female","Bengali","Primary (Class 1-5)",6,5887,"Yes","Flash Flood","No","Yes",2,"Yes",5,6,22,30,"No","Yes","Never","Rarely",5,6,4,5,0,"Mildly Food Insecure",6
"COR-0061",2024-10-16,"Rangamati","Naniarchar","Women's Climate Resilience Committee (WCRC)",53,"Female","Chakma","Secondary (Class 6-10)",4,8236,"No","Erratic Rainfall","Yes","No",2,"Yes",2,3,48,47,"No","Yes","Rarely","Always",2,2,4,2,1618,"Food Secure",8
"COR-0062",2024-10-30,"Khagrachari","Lakshmichhari","Village Women Group (VWG)",22,"Female","Chakma","Primary (Class 1-5)",4,12400,"No","Landslide","Yes","Yes",4,"Yes",3,4,23,38,"No","Yes","Sometimes","Sometimes",2,2,NA,5,2309,"Food Secure",7
"COR-0063",2024-09-17,"Rangamati","Rajasthali","Village Women Group (VWG)",23,"Female","Tripura","No formal education",4,9480,"Yes","Drought","No","No",1,"Yes",4,5,49,50,"Yes","Yes","Always","Sometimes",1,3,NA,4,1132,"Food Secure",11
"COR-0064",2024-09-30,"Khagrachari","Lakshmichhari","Village Women Group (VWG)",35,"Female","Tripura","Secondary (Class 6-10)",5,4043,"No","Flash Flood","Yes","No",3,"No",1,2,51,57,"No","Yes","Rarely","Sometimes",4,1,NA,5,1469,"Severely Food Insecure",17
"COR-0065",2024-10-21,"Rangamati","Rajasthali","Women's Climate Resilience Committee (WCRC)",48,"Female","Chakma","SSC/Equivalent",4,8549,"No","Flash Flood","Yes","Yes",2,"Yes",3,3,32,36,"No","Yes","Sometimes","Often",2,3,3,3,1083,"Food Secure",14
"COR-0066",2024-09-06,"Bandarban","Bandarban Sadar","Village Women Group (VWG)",39,"Female","Khumi","Secondary (Class 6-10)",4,7567,"No","Erratic Rainfall","No","Yes",3,"Yes",2,5,59,75,"No","No","Sometimes","Always",1,5,NA,1,1134,"Moderately Food Insecure",15
"COR-0067",2024-09-07,"Bandarban","Ruma","Community Stakeholder",27,"Female","Tanchangya","Secondary (Class 6-10)",4,11963,"Yes","Landslide","Yes","No",2,"Yes",3,4,42,51,"Yes","No","Sometimes","Sometimes",2,4,NA,4,1065,"Mildly Food Insecure",18
"COR-0068",2024-10-18,"Bandarban","Bandarban Sadar","Women's Climate Resilience Committee (WCRC)",40,"Female","Khyang","SSC/Equivalent",4,13870,"Yes","Erratic Rainfall","Yes","Yes",1,"Yes",3,4,53,57,"Yes","Yes","Sometimes","Sometimes",2,4,5,4,1592,"Mildly Food Insecure",16
"COR-0069",2024-11-17,"Rangamati","Rajasthali","Village Women Group (VWG)",40,"Female","Bengali","No formal education",4,13102,"No","None","Yes","Yes",4,"Yes",1,3,31,56,"No","Yes","Never","Sometimes",3,1,NA,3,1688,"Mildly Food Insecure",14
"COR-0070",2024-11-06,"Rangamati","Rajasthali","Women's Climate Resilience Committee (WCRC)",33,"Female","Chakma","Secondary (Class 6-10)",5,13582,"Yes","Landslide","Yes","Yes",3,"No",1,3,63,73,"No","Yes","Never","Sometimes",3,4,2,3,1152,"Mildly Food Insecure",13
"COR-0071",2024-11-11,"Khagrachari","Lakshmichhari","Youth Group",24,"Female","Chakma","SSC/Equivalent",5,15653,"Yes","Flash Flood","Yes","Yes",3,"Yes",2,4,50,66,"No","Yes","Often","Rarely",2,2,NA,3,0,"Mildly Food Insecure",13
"COR-0072",2024-10-28,"Rangamati","Baghaichhari","Village Women Group (VWG)",49,"Female","Bengali","Secondary (Class 6-10)",5,12763,"No","Drought","Yes","Yes",4,"Yes",2,6,37,39,"No","Yes","Sometimes","Sometimes",1,2,NA,5,974,"Food Secure",17
"COR-0073",2024-09-05,"Khagrachari","Lakshmichhari","Village Women Group (VWG)",36,"Female","Bawm","Primary (Class 1-5)",6,6907,"No","Multiple","Yes","Yes",2,"Yes",5,6,27,38,"No","Yes","Sometimes","Often",2,2,NA,5,1296,"Moderately Food Insecure",12
"COR-0074",2024-11-23,"Khagrachari","Mahalchhari","Youth Group",21,"Female","Bengali","SSC/Equivalent",6,11890,"No","Multiple","No","No",1,"Yes",3,4,12,14,"No","Yes","Sometimes","Often",2,6,NA,5,1822,"Food Secure",13
"COR-0075",2024-09-02,"Rangamati","Kaptai","Village Women Group (VWG)",37,"Female","Tripura","Primary (Class 1-5)",7,12323,"No","Drought","Yes","Yes",3,"No",3,7,27,39,"No","No","Sometimes","Rarely",2,3,NA,5,0,"Severely Food Insecure",15
"COR-0076",2024-11-22,"Bandarban","Alikadam","Village Women Group (VWG)",34,"Female","Murung","SSC/Equivalent",5,16469,"Yes","Drought","Yes","Yes",3,"Yes",2,4,36,43,"No","Yes","Never","Never",4,3,NA,3,0,"Moderately Food Insecure",16
"COR-0077",2024-11-28,"Rangamati","Naniarchar","Community Stakeholder",41,"Female","Marma","Secondary (Class 6-10)",5,10428,"No","None","No","No",2,"No",2,3,20,33,"No","Yes","Rarely","Never",4,5,NA,4,1782,"Moderately Food Insecure",20
"COR-0078",2024-09-30,"Rangamati","Rajasthali","Village Women Group (VWG)",33,"Female","Chakma","No formal education",6,12695,"No","Erratic Rainfall","No","Yes",1,"Yes",3,4,34,36,"Yes","Yes","Rarely","Often",5,2,NA,4,0,"Mildly Food Insecure",14
"COR-0079",2024-10-28,"Khagrachari","Khagrachari Sadar","Village Women Group (VWG)",28,"Female","Bawm","No formal education",4,14512,"No","Multiple","No","Yes",3,"Yes",4,5,36,54,"No","Yes","Sometimes","Often",4,2,NA,3,1941,"Food Secure",13
"COR-0080",2024-10-09,"Rangamati","Rajasthali","Community Stakeholder",43,"Male","Marma","Primary (Class 1-5)",6,15684,"No","None","No","Yes",3,"No",1,2,40,55,"No","No","Rarely","Sometimes",1,3,NA,4,0,"Moderately Food Insecure",13
"COR-0081",2024-10-18,"Rangamati","Barkal","Village Women Group (VWG)",57,"Female","Marma","Primary (Class 1-5)",5,8573,"No","Drought","Yes","No",1,"Yes",6,6,34,39,"No","No","Sometimes","Often",4,4,NA,4,1232,"Food Secure",15
"COR-0082",2024-09-27,"Rangamati","Kaptai","Women's Climate Resilience Committee (WCRC)",25,"Female","Tanchangya","HSC/Equivalent",5,18247,"Yes","Flash Flood","Yes","Yes",1,"Yes",3,4,41,46,"No","Yes","Never","Often",1,1,3,4,639,"Mildly Food Insecure",18
"COR-0083",2024-10-15,"Khagrachari","Panchhari","Local Government Representative",32,"Female","Marma","Primary (Class 1-5)",3,13430,"No","Flash Flood","Yes","Yes",3,"Yes",3,6,21,38,"No","No","Sometimes","Always",2,2,NA,5,1761,"Food Secure",9
"COR-0084",2024-09-02,"Rangamati","Rajasthali","Youth Group",24,"Female","Bengali","Secondary (Class 6-10)",7,9403,"No","Landslide","No","Yes",1,"Yes",1,2,40,45,"No","No","Often","Never",1,4,NA,4,2391,"Food Secure",20
"COR-0085",2024-10-20,"Khagrachari","Mahalchhari","Local Government Representative",43,"Male","Tripura","SSC/Equivalent",4,18377,"Yes","Landslide","Yes","Yes",4,"Yes",2,5,35,44,"Yes","Yes","Sometimes","Rarely",1,1,NA,5,2114,"Mildly Food Insecure",14
"COR-0086",2024-09-21,"Khagrachari","Panchhari","Women's Climate Resilience Committee (WCRC)",50,"Female","Tanchangya","Secondary (Class 6-10)",5,7940,"No","Drought","No","Yes",3,"No",5,7,33,37,"No","No","Sometimes","Often",2,6,4,2,0,"Moderately Food Insecure",15
"COR-0087",2024-11-23,"Bandarban","Alikadam","Village Women Group (VWG)",54,"Female","Marma","Primary (Class 1-5)",4,13643,"No","Multiple","Yes","No",4,"Yes",5,7,43,53,"No","Yes","Rarely","Often",1,1,NA,2,0,"Mildly Food Insecure",17
"COR-0088",2024-10-03,"Rangamati","Barkal","Village Women Group (VWG)",41,"Female","Chakma","HSC/Equivalent",3,12699,"Yes","Landslide","Yes","Yes",2,"No",2,3,33,46,"No","Yes","Sometimes","Often",3,3,NA,4,1343,"Mildly Food Insecure",9
"COR-0089",2024-10-26,"Rangamati","Rajasthali","Community Stakeholder",31,"Female","Chakma","No formal education",5,11032,"Yes","Drought","Yes","No",3,"No",4,5,13,24,"No","Yes","Sometimes","Always",2,1,NA,4,2177,"Food Secure",16
"COR-0090",2024-10-29,"Bandarban","Alikadam","Village Women Group (VWG)",41,"Female","Marma","Secondary (Class 6-10)",6,13172,"No","Multiple","Yes","No",3,"No",4,7,38,44,"No","Yes","Rarely","Sometimes",2,3,NA,5,0,"Mildly Food Insecure",19
"COR-0091",2024-11-11,"Khagrachari","Panchhari","Local Government Representative",35,"Male","Chakma","Primary (Class 1-5)",3,10318,"No","Multiple","No","Yes",3,"Yes",4,6,26,31,"No","No","Rarely","Always",1,3,NA,4,2249,"Moderately Food Insecure",14
"COR-0092",2024-11-30,"Bandarban","Thanchi","Village Women Group (VWG)",39,"Female","Marma","Primary (Class 1-5)",5,4777,"No","Landslide","No","Yes",1,"Yes",4,4,43,43,"No","Yes","Rarely","Never",3,5,NA,5,0,"Mildly Food Insecure",17
"COR-0093",2024-10-18,"Khagrachari","Mahalchhari","Community Stakeholder",63,"Female","Pangkhua","Primary (Class 1-5)",5,11904,"No","None","No","Yes",1,"Yes",4,4,26,31,"No","No","Rarely","Sometimes",1,2,NA,3,0,"Food Secure",14
"COR-0094",2024-10-12,"Rangamati","Barkal","Village Women Group (VWG)",46,"Female","Marma","No formal education",4,13961,"Yes","Flash Flood","No","No",2,"No",6,7,27,34,"No","No","Never","Often",3,4,NA,5,0,"Mildly Food Insecure",14
"COR-0095",2024-10-12,"Bandarban","Ruma","Youth Group",19,"Female","Tripura","SSC/Equivalent",5,8334,"No","Multiple","No","No",4,"Yes",2,5,42,52,"No","Yes","Often","Often",4,4,NA,3,387,"Food Secure",7
"COR-0096",2024-09-18,"Rangamati","Rajasthali","Youth Group",21,"Male","Tripura","Graduate and above",5,3254,"Yes","Multiple","Yes","Yes",2,"Yes",1,4,34,38,"No","Yes","Sometimes","Often",2,3,NA,5,2125,"Food Secure",4
"COR-0097",2024-10-25,"Bandarban","Rowangchhari","Local Government Representative",49,"Male","Chakma","SSC/Equivalent",4,15214,"No","Multiple","Yes","Yes",3,"Yes",2,3,33,34,"No","Yes","Never","Never",1,3,NA,5,0,"Moderately Food Insecure",16
"COR-0098",2024-11-05,"Khagrachari","Khagrachari Sadar","Local Government Representative",39,"Female","Chakma","Primary (Class 1-5)",5,13974,"Yes","Multiple","Yes","No",2,"Yes",5,6,56,65,"No","Yes","Sometimes","Always",1,2,NA,3,2471,"Severely Food Insecure",15
