"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","school_type","school_has_safe_water","school_has_separate_toilet","school_has_menstrual_hygiene_facility","school_gender_responsive_policy","years_in_programme","enrollment_rate_baseline_pct","enrollment_rate_endline_pct","girls_attendance_days_baseline","girls_attendance_days_endline","dropout_rate_girls_baseline_pct","dropout_rate_girls_endline_pct","learning_score_baseline","learning_score_endline","agency_score_baseline","agency_score_endline","child_marriage_prevalence_baseline_pct","child_marriage_prevalence_endline_pct","gbv_awareness_baseline","gbv_awareness_endline","mhm_knowledge_baseline","mhm_knowledge_endline","participates_in_school_activities","teacher_trained_gender_responsive","teacher_uses_inclusive_methods","parent_education_support","household_distance_to_school_km","economic_barrier_to_schooling","rhcw_households_served","rhcw_mhm_sessions_conducted","satisfaction_score"
"WGE-0018",2024-11-29,"Rangamati","Baghaichhari","Reproductive Health Community Worker (RHCW)",29,"Female","Chakma","Government Secondary School","Yes","No","No","Yes",4,66.7,77.3,14,15,11.1,6,77,94,6.5,9,52.1,45,2,3,"Moderate","Poor","No","Yes","Partially","Strongly supports",2.4,"No barrier",43,7,4
"WGE-0019",2024-11-27,"Rangamati","Kaptai","School Student (Girl)",15,"Female","Chakma","Government Secondary School","Yes","Yes","Yes","Partially",3,76.8,86,12,16,19.1,15.7,42,47,5.7,6.1,56.2,48.5,2,2,"Good","Excellent","No","No","Partially","Strongly supports",4,"No barrier",53,7,3
"WGE-0020",2024-09-29,"Rangamati","Rajasthali","School Student (Girl)",13,"Female","Tripura","Government Primary School","Yes","No","Yes","Yes",4,79.7,83.8,19,20,28.1,22.8,68,81,2.9,5.3,27.4,19.1,4,5,"Poor","Poor","Yes","No","Yes","Strongly supports",4.8,"Yes - major barrier",58,7,3
"WGE-0021",2024-10-28,"Rangamati","Rajasthali","Household (Parent/Guardian)",31,"Female","Tripura","NGO-run School","Yes","Yes","No","Yes",3,85,96,14,14,28.1,20.5,69,77,3.1,3.5,57.8,49.7,4,4,"Good","Good","Yes","Yes","Yes","Neutral",3.9,"Yes - minor barrier",34,7,3
"WGE-0022",2024-10-12,"Rangamati","Naniarchar","School Management Committee (SMC)",41,"Female","Chakma","Government Primary School","Yes","No","No","Yes",2,59.1,63.3,15,16,23,14.4,42,49,1.7,2.2,61.5,51.7,5,5,"Good","Excellent","Yes","Yes","No","Supports",1.2,"Yes - minor barrier",31,4,5
"WGE-0023",2024-11-19,"Rangamati","Longadu","Community Stakeholder",59,"Female","Chakma","Madrasa","No","Yes","Yes","Yes",3,82.3,93.1,18,21,31.8,24.5,62,76,1.6,3.7,35,31.6,2,3,"Moderate","Excellent","Yes","Yes","Yes","Supports",5.2,"Yes - minor barrier",56,7,5
"WGE-0024",2024-09-11,"Rangamati","Rajasthali","Household (Parent/Guardian)",33,"Male","Murung","Government Secondary School","No","No","Yes","Partially",4,49.5,64.8,10,12,2,0,72,87,5.1,10,30.3,23,4,3,"Excellent","Poor","Yes","No","Yes","Strongly supports",7.8,"Yes - major barrier",27,6,3
"WGE-0025",2024-09-29,"Khagrachari","Khagrachari Sadar","Reproductive Health Community Worker (RHCW)",23,"Female","Tanchangya","Government Primary School","No","No","No","No",1,54.2,58.8,21,22,23.2,16.7,75,80,3.3,3.6,52.6,45.2,2,4,"Excellent","Good","No","Yes","Yes","Neutral",5.3,"Yes - minor barrier",15,8,5
"WGE-0026",2024-09-22,"Rangamati","Kaptai","School Student (Boy)",15,"Male","Pangkhua","Government Primary School","No","No","No","Partially",2,60.1,66.3,10,12,21.4,13.5,74,82,3.4,4.9,44.3,43.9,1,2,"Poor","Good","Yes","Yes","No","Neutral",4.3,"Yes - minor barrier",62,8,4
"WGE-0027",2024-10-23,"Khagrachari","Ramgarh","School Student (Girl)",15,"Female","Khumi","Government Primary School","Yes","No","Yes","No",4,76.6,91.8,18,19,22.7,10.4,49,60,0.2,2.4,63.4,53.5,5,5,"Poor","Excellent","Yes","No","Yes","Neutral",3,"No barrier",38,10,5
"WGE-0028",2024-09-18,"Rangamati","Kaptai","School Student (Boy)",14,"Male","Chakma","Madrasa","No","No","No","Partially",3,84.2,95.3,19,20,22.7,16.1,55,73,4.2,6.3,24.8,18.4,2,1,"Good","Good","Yes","Yes","Yes","Neutral",3.4,"No barrier",55,9,4
"WGE-0029",2024-09-13,"Rangamati","Baghaichhari","School Student (Girl)",14,"Female","Chakma","Government Primary School","No","Yes","Yes","Partially",4,83.7,100,16,17,18,4.5,54,64,2.2,3.6,30.2,21.7,3,5,"Good","Excellent","No","No","Partially","Neutral",1.9,"Yes - minor barrier",37,7,4
"WGE-0030",2024-10-03,"Khagrachari","Khagrachari Sadar","Reproductive Health Community Worker (RHCW)",33,"Female","Tripura","Government Secondary School","Yes","No","Yes","Yes",3,83,97.1,17,21,17.1,14,43,45,2.7,1.9,14.9,3.8,1,5,"Excellent","Poor","Yes","Yes","Yes","Supports",1.7,"Yes - minor barrier",59,11,3
"WGE-0031",2024-09-28,"Bandarban","Naikhongchhari","School Student (Girl)",12,"Female","Chakma","Government Primary School","Yes","Yes","No","Yes",4,74,85.5,22,22,29.6,24.4,31,42,2.7,4.7,51.8,42.1,3,4,"Moderate","Moderate","Yes","Yes","Yes","Strongly supports",1.4,"Yes - major barrier",39,3,5
"WGE-0032",2024-09-04,"Rangamati","Naniarchar","School Student (Boy)",12,"Male","Chakma","Government Primary School","Yes","No","No","Partially",2,82.5,95.1,12,16,36.4,30.9,39,42,3.1,4.2,40.3,28.9,4,5,"Poor","Good","No","No","Partially","Supports",5.5,"No barrier",53,10,2
"WGE-0033",2024-10-25,"Bandarban","Bandarban Sadar","School Student (Girl)",15,"Female","Chakma","Government Secondary School","Yes","Yes","No","No",4,88.2,98.1,17,19,13.1,7.5,18,30,3.8,5.5,44.1,41.7,1,4,"Moderate","Excellent","Yes","Yes","Partially","Strongly supports",2,"Yes - minor barrier",40,9,3
"WGE-0034",2024-11-24,"Rangamati","Kaptai","School Student (Girl)",13,"Female","Pangkhua","Government Primary School","Yes","No","No","Yes",3,65.7,73,22,22,15.7,8.4,23,32,2.9,3.4,19.7,18,2,2,"Good","Good","No","No","Yes","Does not support",4.2,"Yes - minor barrier",48,10,2
"WGE-0035",2024-09-30,"Khagrachari","Khagrachari Sadar","School Management Committee (SMC)",38,"Female","Marma","Government Secondary School","No","Yes","Yes","Yes",2,67.1,73.4,19,22,28.2,23.6,57,70,3.1,3.3,62.2,60.1,5,4,"Excellent","Excellent","Yes","Yes","Partially","Strongly supports",3.3,"Yes - minor barrier",53,11,4
"WGE-0036",2024-10-02,"Khagrachari","Khagrachari Sadar","Household (Parent/Guardian)",51,"Male","Chakma","Government Secondary School","No","Yes","No","Partially",2,66,77.1,17,18,16.4,9.1,54,65,6.6,8,35.1,20.2,2,5,"Poor","Moderate","Yes","No","Yes","Supports",3.2,"No barrier",58,9,4
"WGE-0037",2024-10-17,"Rangamati","Naniarchar","Teacher",36,"Female","Bengali","Government Secondary School","Yes","Yes","Yes","No",4,82.4,89.4,14,18,7.7,0.6,54,81,4.5,6.6,57.9,52.9,1,1,"Poor","Excellent","No","Yes","Yes","Neutral",6,"No barrier",55,11,4
"WGE-0038",2024-10-16,"Khagrachari","Panchhari","School Student (Boy)",16,"Male","Chakma","Government Primary School","Yes","Yes","Yes","Yes",1,71.5,76.6,20,22,22.9,15.5,59,62,3.4,4.3,53.1,45.3,1,4,"Poor","Excellent","No","Yes","Yes","Strongly supports",3.5,"No barrier",74,6,5
"WGE-0039",2024-09-15,"Bandarban","Bandarban Sadar","School Student (Girl)",13,"Female","Marma","Government Secondary School","Yes","No","Yes","Yes",3,57.1,67.6,17,18,13.3,5.9,57,67,4.6,6.7,35.7,29.1,2,4,"Excellent","Moderate","Yes","Yes","Yes","Supports",5.1,"Yes - major barrier",99,1,5
"WGE-0040",2024-10-27,"Khagrachari","Dighinala","School Student (Girl)",13,"Female","Chakma","Government Secondary School","Yes","No","No","Partially",3,61,71.8,21,22,17.4,9.8,56,65,5.9,5.7,78.3,75.5,2,4,"Moderate","Excellent","No","Yes","Partially","Strongly supports",2.3,"No barrier",56,12,5
"WGE-0041",2024-09-07,"Khagrachari","Khagrachari Sadar","Teacher",49,"Male","Chakma","Madrasa","No","No","Yes","No",1,74.9,89.9,16,18,6,0,54,57,3.9,4.2,48.1,44.3,1,3,"Good","Moderate","Yes","No","Partially","Strongly supports",1.4,"Yes - major barrier",23,10,1
"WGE-0042",2024-11-26,"Bandarban","Bandarban Sadar","Mother Club Member",32,"Female","Tanchangya","Government Primary School","No","Yes","Yes","No",3,61.9,77,14,16,29,24.7,38,44,5.4,8.9,51,43,1,2,"Good","Good","No","No","Partially","Strongly supports",1.6,"No barrier",60,9,4
"WGE-0043",2024-11-19,"Khagrachari","Ramgarh","Reproductive Health Community Worker (RHCW)",29,"Female","Chakma","Government Primary School","No","Yes","No","No",2,55.5,72.9,14,15,13.8,12.7,71,78,4.3,5.1,49.6,35.9,4,3,"Poor","Good","Yes","No","Partially","Supports",2.5,"No barrier",25,7,4
"WGE-0044",2024-10-25,"Khagrachari","Khagrachari Sadar","School Student (Girl)",17,"Female","Chakma","Government Primary School","No","Yes","Yes","No",1,79.5,86.4,13,14,34.1,26.9,31,36,1.9,2.3,17.6,5.1,2,4,"Excellent","Moderate","No","Yes","Yes","Neutral",0.2,"No barrier",48,5,3
"WGE-0045",2024-09-13,"Rangamati","Naniarchar","School Student (Girl)",15,"Female","Chakma","Government Secondary School","Yes","Yes","Yes","Yes",2,70.3,82.4,16,20,0.2,0,39,45,5.2,6,28.4,23.4,2,3,"Poor","Moderate","Yes","No","Yes","Neutral",4.6,"No barrier",70,12,5
"WGE-0046",2024-11-12,"Rangamati","Kaptai","School Student (Girl)",12,"Female","Tanchangya","Government Primary School","No","Yes","No","Yes",2,69.1,76.5,13,17,21.1,13.5,39,42,3.3,2.9,27.4,14.6,5,4,"Poor","Excellent","No","No","Partially","Does not support",4.1,"Yes - minor barrier",36,9,3
"WGE-0047",2024-12-03,"Bandarban","Lama","Household (Parent/Guardian)",33,"Female","Tripura","Government Secondary School","No","No","No","No",1,71,84.8,17,18,24.9,19.3,48,55,6.8,7.5,40.2,33.8,4,3,"Good","Excellent","No","Yes","Yes","Supports",3.2,"Yes - minor barrier",65,9,5
"WGE-0048",2024-11-01,"Rangamati","Longadu","Teacher",34,"Female","Chakma","Community Learning Centre","Yes","Yes","Yes","No",3,78.6,87.8,16,19,10.7,9.2,38,47,8.8,10,46,35.2,3,5,"Poor","Good","No","Yes","Partially","Strongly supports",3.4,"Yes - major barrier",48,13,5
"WGE-0049",2024-09-26,"Khagrachari","Khagrachari Sadar","School Student (Boy)",15,"Male","Chakma","Government Primary School","Yes","Yes","Yes","Yes",4,95.9,100,22,22,20,11.3,57,70,6.6,9.4,57.7,50.3,2,5,"Moderate","Good","Yes","No","Partially","Strongly supports",0.9,"Yes - minor barrier",48,12,4
"WGE-0050",2024-11-25,"Rangamati","Kaptai","Reproductive Health Community Worker (RHCW)",33,"Female","Tanchangya","Madrasa","No","Yes","Yes","Partially",3,76.6,86,18,20,13.9,4.9,38,48,3.8,4.9,61.8,53,5,3,"Moderate","Excellent","Yes","Yes","Yes","Supports",0.5,"Yes - minor barrier",10,7,5
"WGE-0051",2024-11-10,"Bandarban","Rowangchhari","School Student (Boy)",13,"Male","Chakma","Government Secondary School","Yes","No","Yes","No",2,74.9,83.3,12,14,29.5,23,61,65,0.1,0.4,58.2,42.4,1,1,"Moderate","Excellent","Yes","Yes","Partially","Does not support",0.2,"Yes - major barrier",78,14,3
"WGE-0052",2024-09-16,"Khagrachari","Dighinala","Mother Club Member",33,"Female","Chakma","Government Primary School","Yes","No","No","Yes",3,78.3,87.4,21,22,18.3,12.4,39,46,3.2,4.7,47.3,35.6,2,5,"Moderate","Poor","Yes","Yes","Partially","Supports",4.4,"Yes - minor barrier",63,15,5
"WGE-0053",2024-10-07,"Bandarban","Lama","Reproductive Health Community Worker (RHCW)",28,"Female","Tanchangya","NGO-run School","No","Yes","No","No",3,100,100,17,19,32.8,21.8,61,72,4.3,5.3,44.4,37.5,2,4,"Moderate","Poor","Yes","Yes","No","Neutral",5.1,"Yes - minor barrier",59,4,2
"WGE-0054",2024-09-24,"Bandarban","Lama","School Management Committee (SMC)",38,"Male","Chakma","Government Primary School","No","No","Yes","Partially",2,87.3,100,17,19,22.5,19.2,47,57,5.7,6.4,28.6,15.3,1,2,"Excellent","Excellent","Yes","No","Partially","Does not support",4,"No barrier",87,9,5
"WGE-0055",2024-09-19,"Khagrachari","Mahalchhari","Teacher",41,"Female","Marma","Community Learning Centre","No","Yes","Yes","No",2,70.7,74.6,11,14,27.6,17.9,45,49,4.6,6.4,46.9,35.1,3,2,"Moderate","Excellent","Yes","Yes","Yes","Supports",3.3,"No barrier",38,7,4
"WGE-0056",2024-09-11,"Bandarban","Lama","School Student (Boy)",15,"Male","Tripura","Government Primary School","Yes","No","No","Yes",4,58.4,70.2,15,17,37,28.2,56,62,5.2,7.3,32.2,30.7,4,5,"Good","Poor","Yes","Yes","Yes","Neutral",2.1,"No barrier",69,9,4
"WGE-0057",2024-09-27,"Bandarban","Rowangchhari","School Student (Boy)",13,"Male","Tripura","Madrasa","Yes","No","No","No",3,76.2,86,19,22,13.3,4.2,59,66,3.6,6.8,47.6,38.2,4,3,"Good","Excellent","Yes","No","Yes","Neutral",4.4,"No barrier",43,3,3
"WGE-0058",2024-10-03,"Rangamati","Naniarchar","School Student (Girl)",17,"Female","Chakma","Government Primary School","No","Yes","Yes","No",4,69.7,78.9,18,22,15.5,10.8,48,59,4.3,6.6,19.7,11.2,2,5,"Moderate","Good","Yes","Yes","Yes","Supports",2.4,"Yes - minor barrier",56,9,3
"WGE-0059",2024-11-01,"Bandarban","Naikhongchhari","Police/Law Enforcement",52,"Female","Bengali","Government Primary School","Yes","Yes","No","Partially",2,65.6,75.4,13,14,25.4,20.9,34,36,2.8,3.3,51.9,44.7,3,3,"Moderate","Good","Yes","Yes","No","Supports",2.8,"Yes - major barrier",32,6,4
"WGE-0060",2024-10-25,"Rangamati","Naniarchar","School Student (Girl)",13,"Female","Marma","Community Learning Centre","Yes","Yes","No","Partially",3,100,100,18,21,13.2,1.2,54,64,2.6,4.3,53.3,39.1,5,2,"Good","Excellent","Yes","Yes","Yes","Strongly supports",4.5,"No barrier",57,5,3
"WGE-0061",2024-11-28,"Rangamati","Naniarchar","Household (Parent/Guardian)",49,"Male","Tanchangya","Government Secondary School","No","No","No","Partially",4,84.6,94,16,18,15.5,10.4,61,80,2.2,3,68.3,61.3,1,4,"Moderate","Moderate","No","Yes","Yes","Does not support",2.3,"Yes - minor barrier",12,9,5
"WGE-0062",2024-11-02,"Bandarban","Lama","Reproductive Health Community Worker (RHCW)",38,"Female","Tanchangya","Community Learning Centre","Yes","Yes","No","Yes",3,64.4,76.9,16,17,21.3,15.3,37,53,2,3.7,55.7,45.1,2,5,"Moderate","Good","Yes","Yes","No","Supports",2.9,"No barrier",32,8,3
"WGE-0063",2024-10-14,"Khagrachari","Dighinala","School Student (Girl)",13,"Female","Tanchangya","Government Secondary School","No","Yes","No","No",1,73.4,90.3,17,18,12.7,5.1,64,67,5,5.6,29.2,14.4,4,4,"Moderate","Moderate","No","Yes","Yes","Supports",1,"No barrier",67,10,5
"WGE-0064",2024-10-31,"Khagrachari","Dighinala","School Student (Girl)",15,"Female","Chakma","Government Primary School","Yes","Yes","No","Partially",4,77.9,88.8,16,19,31,21.5,73,97,2.5,4.7,32.4,18.2,4,5,"Moderate","Good","No","Yes","Partially","Neutral",1.4,"Yes - minor barrier",40,11,4
"WGE-0065",2024-10-04,"Khagrachari","Dighinala","School Student (Girl)",14,"Female","Marma","Community Learning Centre","Yes","No","Yes","No",1,84,92,13,16,19.3,18.3,68,70,1.1,1.8,32.3,26.8,4,4,"Good","Good","Yes","Yes","No","Supports",2.6,"No barrier",68,12,5
"WGE-0066",2024-10-25,"Rangamati","Rajasthali","School Student (Girl)",14,"Female","Tanchangya","Government Primary School","Yes","Yes","Yes","Partially",3,57.8,63.2,15,19,17.5,11.2,49,59,2.7,3,60.2,50.4,3,2,"Excellent","Good","Yes","No","Yes","Supports",4.2,"No barrier",47,9,4
"WGE-0067",2024-10-29,"Khagrachari","Panchhari","Household (Parent/Guardian)",43,"Male","Chakma","Government Primary School","No","Yes","No","Yes",1,80.3,90.3,15,17,9.5,5.2,39,43,2.7,2.7,52.2,43.3,4,3,"Good","Poor","Yes","No","Yes","Strongly supports",2.5,"Yes - minor barrier",39,5,2
"WGE-0068",2024-11-24,"Khagrachari","Mahalchhari","School Student (Boy)",11,"Male","Chakma","Community Learning Centre","Yes","Yes","Yes","Yes",3,75,82,20,22,19.6,13.7,48,58,2.5,2.3,46,38.1,5,4,"Poor","Good","No","Yes","No","Supports",0.8,"Yes - minor barrier",62,11,3
"WGE-0069",2024-09-22,"Khagrachari","Ramgarh","Reproductive Health Community Worker (RHCW)",27,"Female","Chakma","Government Secondary School","No","No","No","No",4,72.1,83.4,16,17,10.3,8.8,41,61,5.8,8.9,53.3,44.1,3,5,"Moderate","Good","Yes","Yes","Partially","Supports",4.2,"Yes - major barrier",26,8,4
"WGE-0070",2024-10-21,"Khagrachari","Mahalchhari","Community Stakeholder",47,"Female","Tanchangya","Government Primary School","No","Yes","No","Partially",4,76.2,81.9,11,13,20,13.9,51,62,2.8,3.4,36.3,28.1,2,5,"Poor","Good","Yes","No","Yes","Neutral",2.9,"No barrier",48,14,5
"WGE-0071",2024-12-03,"Bandarban","Naikhongchhari","School Student (Girl)",13,"Female","Chakma","NGO-run School","No","Yes","Yes","Yes",1,66.2,76.7,15,19,25.8,18.7,75,79,4.8,4.9,15.3,0,1,4,"Excellent","Good","No","Yes","Yes","Neutral",2.4,"Yes - major barrier",52,11,5
"WGE-0072",2024-10-28,"Khagrachari","Mahalchhari","School Student (Girl)",16,"Female","Tanchangya","NGO-run School","No","No","No","No",4,94.2,100,11,13,21.1,14.6,44,49,4,6.4,43.9,34.2,3,3,"Moderate","Good","Yes","Yes","Partially","Does not support",3.8,"Yes - minor barrier",60,9,4
"WGE-0073",2024-09-19,"Bandarban","Naikhongchhari","School Student (Girl)",12,"Female","Chakma","Madrasa","No","No","Yes","No",1,70.8,74.9,18,20,16.1,7.8,54,57,6.4,7.1,54.3,48,3,4,"Moderate","Good","Yes","No","Yes","Neutral",3.5,"Yes - major barrier",10,14,5
"WGE-0074",2024-10-30,"Bandarban","Ruma","School Student (Boy)",13,"Male","Bengali","NGO-run School","No","No","Yes","Yes",1,78.4,91.9,20,22,11.2,4.4,43,44,1.3,1.8,32.4,14.4,3,4,"Good","Good","No","No","Yes","Supports",3.2,"Yes - minor barrier",36,3,4
"WGE-0075",2024-11-25,"Rangamati","Longadu","Household (Parent/Guardian)",51,"Male","Chakma","Government Secondary School","Yes","Yes","No","Yes",2,72.7,78.5,10,13,16.4,4.9,49,57,3.1,4.1,32.3,28.7,3,4,"Excellent","Moderate","Yes","Yes","Yes","Neutral",0.3,"Yes - minor barrier",13,13,5
"WGE-0076",2024-09-26,"Khagrachari","Khagrachari Sadar","School Student (Girl)",10,"Female","Tanchangya","Government Primary School","Yes","Yes","Yes","Yes",4,59.9,67.8,20,22,21.3,13.6,52,63,4.3,7.6,64.2,60.5,4,3,"Moderate","Good","No","No","Partially","Supports",4.7,"Yes - minor barrier",68,3,5
"WGE-0077",2024-10-21,"Bandarban","Ruma","Teacher",37,"Male","Marma","Government Secondary School","Yes","No","No","Yes",3,83.6,88.2,17,20,22,15.9,45,57,3.3,5.8,32.5,24.4,4,3,"Good","Moderate","Yes","Yes","Yes","Supports",0.2,"No barrier",51,6,3
"WGE-0078",2024-09-04,"Khagrachari","Mahalchhari","Household (Parent/Guardian)",42,"Female","Tanchangya","Community Learning Centre","Yes","No","No","No",1,62.9,81.1,17,19,16.9,11.2,47,48,4,4.7,41,32.7,4,5,"Moderate","Good","Yes","Yes","No","Supports",4.4,"Yes - minor barrier",42,11,4
"WGE-0079",2024-12-04,"Rangamati","Rajasthali","Reproductive Health Community Worker (RHCW)",29,"Female","Marma","NGO-run School","Yes","Yes","Yes","Yes",2,64.1,77.4,14,15,3.7,0,42,44,2.7,3.7,71.7,63.3,3,4,"Moderate","Excellent","Yes","No","Yes","Supports",4.8,"Yes - major barrier",48,7,2
"WGE-0080",2024-11-26,"Bandarban","Naikhongchhari","School Student (Girl)",15,"Female","Chakma","NGO-run School","Yes","Yes","No","Yes",3,63.1,68.6,15,18,21.9,18.9,57,63,1.7,4.3,49.7,38.2,5,4,"Poor","Poor","No","Yes","No","Supports",3.6,"Yes - major barrier",52,6,3
"WGE-0081",2024-10-24,"Rangamati","Kaptai","Household (Parent/Guardian)",47,"Female","Chakma","Government Primary School","Yes","Yes","No","Partially",2,49.2,64.7,17,20,26.9,20.4,53,59,2.7,4.3,42,31.1,2,4,"Good","Good","No","Yes","Partially","Does not support",4.7,"Yes - major barrier",44,12,4
"WGE-0082",2024-10-14,"Bandarban","Naikhongchhari","Household (Parent/Guardian)",30,"Female","Chak","Government Primary School","Yes","Yes","No","Partially",4,59.4,68.7,12,14,10.5,9.1,73,91,6.9,9.8,45.2,33.2,1,5,"Good","Good","Yes","Yes","Partially","Supports",5.9,"Yes - minor barrier",42,9,3
"WGE-0083",2024-11-01,"Bandarban","Bandarban Sadar","School Student (Girl)",11,"Female","Tripura","Government Secondary School","Yes","No","No","Yes",1,57.5,63.4,13,14,14.9,11,80,82,1.6,2.1,25.9,13.6,1,3,"Moderate","Good","No","Yes","Yes","Neutral",4,"No barrier",22,11,4
