"respondent_id","interview_date","district","upazila","respondent_type","age","sex","ethnicity","education_level","household_size","monthly_income_bdt","years_in_programme","forest_land_managed_acres","tree_species_planted","seedlings_distributed","seedling_survival_rate_pct","biodiversity_index_baseline","biodiversity_index_endline","forest_cover_change","watershed_comanagement","ntfp_income_bdt","eco_enterprise_involved","sustainable_ag_practices","conservation_knowledge_baseline","conservation_knowledge_endline","attitude_conservation_baseline","attitude_conservation_endline","community_rules_exist","resource_conflict_12mo","satisfaction_forest_mgmt","satisfaction_score","training_received","climate_impact_on_biodiversity"
"BER-0013",2024-09-09,"Bandarban","Rowangchhari","Youth Eco-Entrepreneur",43,"Male","Bengali","SSC/Equivalent",4,15869,4,12.4,2,50,47.1,36,47,"Moderately increased","Active",1914,"Yes",4,9,14,2,4,"No","No",5,3,"No","Moderate"
"BER-0014",2024-09-28,"Rangamati","Baghaichhari","Community Leader/Headman",50,"Male","Chakma","Primary (Class 1-5)",6,16560,4,12.6,7,670,61.8,22,31,"Significantly increased","Active",5149,"Yes",2,12,18,4,3,"Yes","Yes",3,4,"Yes","Mild"
"BER-0015",2024-11-17,"Bandarban","Naikhongchhari","Community Forest Management Group",42,"Male","Chak","No formal education",6,13222,1,10.9,7,73,73.4,62,65,"No change","Active",4076,"Yes",2,11,13,2,5,"Yes","No",2,2,"Yes","Severe"
"BER-0016",2024-10-16,"Khagrachari","Panchhari","Local NGO Representative",39,"Female","Chakma","Primary (Class 1-5)",5,8919,4,4.4,4,236,67.2,49,58,"Moderately increased","Occasional",3320,"Yes",3,7,13,3,3,"Yes","Yes",2,2,"No","Mild"
"BER-0017",2024-10-17,"Rangamati","Belaichhari","Community Forest Management Group",30,"Male","Chakma","Primary (Class 1-5)",4,9137,1,2,7,358,61.5,63,65,"No change","Not participating",2176,"No",5,10,13,4,2,"Yes","Yes",3,4,"Yes","Mild"
"BER-0018",2024-10-09,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",32,"Male","Bawm","Primary (Class 1-5)",6,8363,3,8.8,9,401,77.6,46,54,"Moderately increased","Occasional",2663,"Yes",4,6,10,4,4,"Yes","No",2,4,"Yes","Severe"
"BER-0019",2024-09-30,"Khagrachari","Ramgarh","Community Forest Management Group",42,"Male","Marma","SSC/Equivalent",5,13062,2,16.2,7,349,66.8,46,57,"Moderately increased","Occasional",3756,"No",1,10,16,3,4,"Yes","No",4,3,"Yes","Severe"
"BER-0020",2024-11-14,"Rangamati","Baghaichhari","Community Leader/Headman",50,"Male","Tripura","Secondary (Class 6-10)",5,15054,4,15,9,271,64,44,60,"Moderately increased","Not participating",2639,"Yes",5,14,20,2,3,"No","Yes",5,4,"No","Severe"
"BER-0021",2024-11-11,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",27,"Male","Tanchangya","Primary (Class 1-5)",5,13393,2,17,8,297,46.4,40,45,"Moderately increased","Not participating",200,"Yes",4,5,8,5,5,"Under development","Yes",5,4,"Yes","Severe"
"BER-0022",2024-11-09,"Khagrachari","Ramgarh","Biodiversity Conservation Group (BCG)",50,"Male","Tanchangya","Primary (Class 1-5)",7,13586,3,9.6,14,362,45.8,56,69,"Moderately increased","Occasional",4102,"Yes",0,13,18,3,5,"No","No",2,4,"Yes","Moderate"
"BER-0023",2024-09-12,"Rangamati","Baghaichhari","Youth Eco-Entrepreneur",56,"Male","Chakma","No formal education",5,9717,3,9.3,6,213,72.9,50,51,"Significantly increased","Not participating",969,"No",1,10,15,5,5,"Yes","No",5,4,"No","Moderate"
"BER-0024",2024-09-17,"Bandarban","Thanchi","Youth Eco-Entrepreneur",48,"Female","Khumi","Primary (Class 1-5)",3,13920,2,2.9,5,475,98,66,72,"No change","Occasional",2244,"Yes",3,9,14,3,5,"Yes","No",2,2,"Yes","Moderate"
"BER-0025",2024-10-08,"Rangamati","Kaptai","Community Leader/Headman",31,"Female","Chakma","SSC/Equivalent",5,17942,3,14.1,8,256,75.3,38,45,"Slightly decreased","Active",3585,"Yes",0,12,17,4,3,"Under development","Yes",3,4,"Yes","Severe"
"BER-0026",2024-09-07,"Khagrachari","Dighinala","Youth Eco-Entrepreneur",35,"Female","Lushai","Secondary (Class 6-10)",5,13468,4,11.4,4,436,59.8,42,50,"Moderately increased","Not participating",2973,"Yes",2,14,17,2,3,"Yes","No",3,5,"Yes","Mild"
"BER-0027",2024-09-11,"Khagrachari","Dighinala","Youth Eco-Entrepreneur",33,"Male","Chakma","SSC/Equivalent",7,19274,2,14.9,4,147,92.1,51,55,"Moderately increased","Not participating",2757,"No",3,7,14,1,3,"Yes","No",2,3,"Yes","No impact observed"
"BER-0028",2024-10-07,"Rangamati","Belaichhari","Community Forest Management Group",41,"Male","Chakma","Primary (Class 1-5)",4,16551,3,12.7,6,86,66.6,57,64,"Slightly decreased","Occasional",2860,"No",1,14,17,4,4,"Yes","No",5,4,"No","Moderate"
"BER-0029",2024-10-19,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",34,"Male","Marma","Secondary (Class 6-10)",7,13999,4,6.5,6,412,85.2,54,68,"No change","Active",2446,"No",1,6,11,3,5,"Yes","No",4,4,"Yes","Moderate"
"BER-0030",2024-10-30,"Rangamati","Baghaichhari","Community Forest Management Group",24,"Female","Bengali","Secondary (Class 6-10)",6,12835,1,3.6,2,359,61.3,55,60,"No change","Not participating",3983,"No",2,13,13,4,4,"No","Yes",3,5,"Yes","Severe"
"BER-0031",2024-10-10,"Bandarban","Naikhongchhari","Community Forest Management Group",40,"Female","Tripura","Primary (Class 1-5)",7,13876,3,0.9,6,271,80,49,56,"Significantly increased","Occasional",3303,"Yes",3,10,14,3,3,"No","Yes",5,5,"Yes","Severe"
"BER-0032",2024-11-04,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",42,"Male","Tripura","SSC/Equivalent",5,12764,1,13,4,294,64,39,44,"Moderately increased","Occasional",4190,"Yes",3,16,20,2,5,"Yes","No",3,5,"Yes","Mild"
"BER-0033",2024-09-26,"Bandarban","Ruma","Community Forest Management Group",41,"Female","Tripura","Primary (Class 1-5)",5,13897,2,1.1,7,380,78,19,27,"Moderately increased","Active",2291,"Yes",4,7,10,5,4,"No","No",5,5,"No","Severe"
"BER-0034",2024-09-11,"Bandarban","Bandarban Sadar","Youth Eco-Entrepreneur",54,"Male","Khumi","Primary (Class 1-5)",5,18833,1,4.1,8,357,72.8,32,37,"Significantly increased","Active",2412,"No",5,14,17,3,4,"Yes","Yes",4,4,"Yes","Moderate"
"BER-0035",2024-10-23,"Bandarban","Naikhongchhari","Biodiversity Conservation Group (BCG)",50,"Female","Marma","SSC/Equivalent",5,14994,3,11.3,5,235,68.4,20,26,"Moderately increased","Active",4706,"Yes",4,10,13,3,3,"Yes","No",4,3,"No","Moderate"
"BER-0036",2024-10-28,"Rangamati","Naniarchar","Forest Department Staff",47,"Male","Chakma","No formal education",6,16642,3,5.1,8,505,85.7,29,38,"No change","Active",2202,"No",5,9,13,4,5,"Yes","No",4,4,"No","Severe"
"BER-0037",2024-11-22,"Rangamati","Barkal","Community Forest Management Group",40,"Female","Tanchangya","Primary (Class 1-5)",4,10202,3,1.4,5,319,66.5,70,78,"Moderately increased","Active",1936,"Yes",0,7,11,4,4,"Yes","No",2,1,"Yes","No impact observed"
"BER-0038",2024-11-20,"Rangamati","Barkal","Youth Eco-Entrepreneur",28,"Male","Chakma","Primary (Class 1-5)",5,10532,2,3.8,4,298,43.3,45,53,"Significantly increased","Occasional",1134,"No",1,6,12,3,4,"Yes","No",2,4,"No","Mild"
"BER-0039",2024-11-04,"Khagrachari","Dighinala","Local NGO Representative",27,"Male","Chakma","Primary (Class 1-5)",6,6749,4,8.7,3,320,70,38,46,"Moderately increased","Not participating",3937,"No",3,13,20,3,3,"Yes","No",4,3,"Yes","Moderate"
"BER-0040",2024-09-22,"Khagrachari","Guimara","Community Leader/Headman",40,"Male","Chak","HSC/Equivalent",5,10985,3,1.5,1,239,44.3,34,51,"Slightly decreased","Active",3818,"Yes",4,9,14,1,5,"Yes","Yes",5,2,"Yes","Moderate"
"BER-0041",2024-10-19,"Bandarban","Rowangchhari","Biodiversity Conservation Group (BCG)",52,"Male","Chakma","No formal education",4,21913,2,13.2,11,361,69.7,42,48,"No change","Active",3610,"Yes",3,14,17,3,3,"Yes","No",5,5,"Yes","Mild"
"BER-0042",2024-09-18,"Khagrachari","Khagrachari Sadar","Community Leader/Headman",45,"Female","Bengali","No formal education",9,11415,4,3.4,7,303,54.3,69,82,"No change","Active",3404,"Yes",0,12,15,5,3,"Yes","No",4,5,"No","Mild"
"BER-0043",2024-10-17,"Khagrachari","Panchhari","Community Forest Management Group",37,"Female","Chakma","Primary (Class 1-5)",3,8774,3,5.6,1,110,91.3,22,38,"Moderately increased","Occasional",3589,"Yes",2,16,18,3,3,"Under development","Yes",4,2,"Yes","No impact observed"
"BER-0044",2024-09-24,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",40,"Male","Bawm","SSC/Equivalent",5,13685,2,6.3,8,283,56,32,38,"Slightly decreased","Occasional",3818,"No",3,12,16,3,5,"Yes","Yes",2,4,"Yes","Moderate"
"BER-0045",2024-09-27,"Khagrachari","Dighinala","Youth Eco-Entrepreneur",41,"Male","Lushai","No formal education",5,7839,2,9.7,10,174,74.5,53,59,"No change","Active",3082,"No",3,6,9,3,4,"Yes","No",3,3,"Yes","No impact observed"
"BER-0046",2024-10-16,"Khagrachari","Panchhari","Youth Eco-Entrepreneur",32,"Male","Marma","Primary (Class 1-5)",6,6871,4,13.3,4,216,67,33,41,"Moderately increased","Occasional",2703,"No",3,10,13,5,4,"Under development","No",5,2,"Yes","Severe"
"BER-0047",2024-09-13,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",45,"Male","Marma","Secondary (Class 6-10)",5,11446,4,5.6,9,416,52.4,77,86,"No change","Active",5158,"No",1,20,20,2,4,"Yes","Yes",5,4,"Yes","Mild"
"BER-0048",2024-09-20,"Rangamati","Naniarchar","Youth Eco-Entrepreneur",52,"Male","Tripura","Secondary (Class 6-10)",7,12541,4,10,7,536,64.4,40,55,"No change","Occasional",3432,"No",2,12,13,4,4,"Yes","Yes",5,5,"Yes","Moderate"
"BER-0049",2024-10-22,"Bandarban","Rowangchhari","Biodiversity Conservation Group (BCG)",43,"Male","Lushai","HSC/Equivalent",7,12710,4,5.6,5,172,72.7,63,68,"Significantly increased","Occasional",2040,"Yes",5,6,9,2,2,"Under development","No",5,4,"Yes","Severe"
"BER-0050",2024-09-15,"Bandarban","Naikhongchhari","Forest Department Staff",38,"Male","Marma","Secondary (Class 6-10)",6,15843,4,5.9,8,447,50.1,62,76,"Moderately increased","Active",1759,"No",3,12,16,1,5,"No","No",4,5,"No","No impact observed"
"BER-0051",2024-09-08,"Rangamati","Belaichhari","Forest Department Staff",54,"Female","Tanchangya","Secondary (Class 6-10)",5,13027,1,8.8,12,437,78.2,64,70,"Slightly decreased","Not participating",1884,"Yes",2,13,15,1,5,"No","No",5,5,"Yes","No impact observed"
"BER-0052",2024-10-07,"Khagrachari","Ramgarh","Biodiversity Conservation Group (BCG)",58,"Male","Tripura","Primary (Class 1-5)",3,17554,2,9.6,8,99,88.4,40,43,"Moderately increased","Active",2650,"Yes",1,8,11,2,4,"Yes","Yes",4,4,"Yes","Moderate"
"BER-0053",2024-09-22,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",43,"Male","Tripura","Primary (Class 1-5)",4,19481,1,9.2,8,330,66.2,33,36,"No change","Not participating",3977,"No",3,12,14,4,5,"No","No",3,4,"Yes","Moderate"
"BER-0054",2024-09-19,"Rangamati","Naniarchar","Biodiversity Conservation Group (BCG)",43,"Female","Marma","Primary (Class 1-5)",5,10033,2,0.8,4,512,96.1,40,47,"No change","Active",1640,"Yes",0,13,18,3,3,"Yes","No",5,3,"Yes","Mild"
"BER-0055",2024-11-09,"Bandarban","Thanchi","Biodiversity Conservation Group (BCG)",46,"Female","Chak","SSC/Equivalent",7,13697,1,4.2,6,455,43.5,67,71,"Significantly increased","Not participating",3332,"No",2,9,13,4,3,"Yes","Yes",1,5,"Yes","Mild"
"BER-0056",2024-09-08,"Rangamati","Kaptai","Community Forest Management Group",18,"Male","Tripura","HSC/Equivalent",5,7933,4,2.7,9,396,91.7,36,43,"Significantly decreased","Not participating",3654,"No",2,9,13,3,4,"No","No",4,4,"Yes","Moderate"
"BER-0057",2024-11-10,"Rangamati","Kaptai","Youth Eco-Entrepreneur",45,"Male","Murung","No formal education",6,11634,4,6.2,8,102,49.7,31,44,"Significantly increased","Not participating",3176,"No",5,16,20,5,5,"Under development","No",4,5,"Yes","Mild"
"BER-0058",2024-10-29,"Bandarban","Rowangchhari","Community Forest Management Group",25,"Female","Tanchangya","Secondary (Class 6-10)",4,13151,2,7.7,11,336,90.7,38,47,"Significantly increased","Occasional",1891,"No",1,10,14,3,3,"Yes","Yes",2,3,"No","Moderate"
"BER-0059",2024-10-08,"Khagrachari","Guimara","Local NGO Representative",48,"Female","Chakma","SSC/Equivalent",4,12207,1,5,8,126,71.1,53,58,"Slightly decreased","Active",1835,"No",1,11,12,3,4,"Yes","No",4,4,"Yes","Moderate"
"BER-0060",2024-11-15,"Bandarban","Ruma","Biodiversity Conservation Group (BCG)",34,"Female","Marma","Primary (Class 1-5)",6,11106,2,4.5,2,172,81.2,52,56,"Moderately increased","Occasional",3183,"Yes",3,11,15,3,5,"Under development","No",3,5,"Yes","Mild"
"BER-0061",2024-09-30,"Rangamati","Baghaichhari","Community Leader/Headman",27,"Female","Marma","Primary (Class 1-5)",5,15216,2,6.5,9,338,73.1,51,50,"No change","Active",2013,"Yes",3,9,14,2,4,"Yes","Yes",5,4,"No","Severe"
"BER-0062",2024-10-13,"Khagrachari","Khagrachari Sadar","Youth Eco-Entrepreneur",37,"Female","Tanchangya","Secondary (Class 6-10)",6,17277,2,9.2,6,342,69.3,45,53,"Significantly decreased","Not participating",3223,"No",2,12,16,5,5,"Yes","Yes",5,4,"Yes","Moderate"
"BER-0063",2024-09-10,"Khagrachari","Dighinala","Community Forest Management Group",54,"Female","Chakma","No formal education",4,17354,4,11,10,502,61.6,39,45,"Moderately increased","Active",2708,"Yes",4,10,15,2,4,"Under development","No",3,3,"No","Severe"
"BER-0064",2024-10-17,"Rangamati","Kaptai","Youth Eco-Entrepreneur",30,"Female","Chakma","SSC/Equivalent",6,16527,3,12.1,9,56,76.1,34,54,"No change","Active",3973,"No",3,9,15,1,4,"Yes","No",4,5,"No","Mild"
"BER-0065",2024-10-14,"Rangamati","Naniarchar","Biodiversity Conservation Group (BCG)",34,"Female","Murung","Primary (Class 1-5)",5,5330,4,8.6,3,278,65,16,26,"Moderately increased","Occasional",2603,"Yes",2,6,8,1,4,"Under development","Yes",3,4,"No","Moderate"
"BER-0066",2024-11-10,"Khagrachari","Guimara","Forest Department Staff",21,"Male","Chakma","SSC/Equivalent",4,9419,2,5.4,4,213,77.7,60,65,"Moderately increased","Active",1761,"No",4,13,15,4,3,"Yes","Yes",3,5,"Yes","Severe"
"BER-0067",2024-11-11,"Khagrachari","Panchhari","Forest Department Staff",47,"Female","Tripura","SSC/Equivalent",6,8856,3,8.9,8,515,65.2,30,39,"Significantly decreased","Active",2800,"Yes",2,11,14,2,3,"Yes","No",5,5,"Yes","Moderate"
"BER-0068",2024-09-18,"Rangamati","Barkal","Biodiversity Conservation Group (BCG)",36,"Female","Chakma","Primary (Class 1-5)",7,18641,4,1.7,7,208,80,37,56,"Moderately increased","Active",1899,"Yes",2,3,7,4,4,"Yes","No",4,4,"Yes","Moderate"
"BER-0069",2024-09-14,"Rangamati","Naniarchar","Community Forest Management Group",33,"Female","Marma","No formal education",4,6847,4,13.4,10,194,76.3,58,69,"No change","Active",4908,"Yes",0,12,15,2,5,"No","No",3,2,"Yes","Severe"
"BER-0070",2024-10-06,"Rangamati","Rajasthali","Community Forest Management Group",29,"Female","Tripura","HSC/Equivalent",5,15514,3,8.4,8,314,63.7,17,26,"Moderately increased","Active",3440,"No",4,6,11,1,4,"Yes","No",4,4,"Yes","Moderate"
"BER-0071",2024-11-08,"Rangamati","Rajasthali","Community Forest Management Group",45,"Male","Chakma","No formal education",5,13900,3,5.5,2,170,62,61,65,"Moderately increased","Not participating",2669,"No",2,10,12,1,4,"No","Yes",4,3,"Yes","Moderate"
"BER-0072",2024-10-21,"Khagrachari","Ramgarh","Community Forest Management Group",22,"Female","Murung","No formal education",7,14962,4,7.5,11,355,59.2,50,66,"Moderately increased","Active",2843,"No",4,5,9,5,3,"Yes","No",4,3,"Yes","Mild"
"BER-0073",2024-11-16,"Bandarban","Ruma","Biodiversity Conservation Group (BCG)",32,"Male","Marma","HSC/Equivalent",4,13621,2,5.8,7,246,64.8,32,40,"No change","Active",4843,"Yes",5,5,10,4,4,"Under development","Yes",2,4,"Yes","Moderate"
"BER-0074",2024-11-26,"Bandarban","Naikhongchhari","Biodiversity Conservation Group (BCG)",42,"Male","Marma","SSC/Equivalent",6,11232,3,11.6,4,311,71.1,37,44,"No change","Active",4195,"No",2,15,19,3,5,"Under development","Yes",5,4,"Yes","Severe"
"BER-0075",2024-11-20,"Rangamati","Baghaichhari","Biodiversity Conservation Group (BCG)",35,"Male","Bengali","Primary (Class 1-5)",5,11408,1,5.3,6,217,74.3,26,30,"Moderately increased","Not participating",1152,"No",0,7,15,4,4,"Yes","No",5,4,"No","Severe"
"BER-0076",2024-09-28,"Bandarban","Naikhongchhari","Youth Eco-Entrepreneur",48,"Female","Chakma","No formal education",6,21496,2,11.1,11,451,66.9,53,55,"Significantly increased","Not participating",1994,"No",4,8,11,5,5,"Yes","No",4,4,"Yes","Moderate"
"BER-0077",2024-11-19,"Khagrachari","Panchhari","Youth Eco-Entrepreneur",47,"Male","Tanchangya","Primary (Class 1-5)",5,13903,2,8.1,7,332,98,32,36,"No change","Active",3019,"Yes",4,5,10,3,4,"Yes","No",2,5,"Yes","Severe"
"BER-0078",2024-09-11,"Bandarban","Ruma","Biodiversity Conservation Group (BCG)",40,"Female","Chakma","Secondary (Class 6-10)",5,17927,3,8.8,6,180,72.5,28,34,"Moderately increased","Active",3029,"Yes",4,11,14,2,4,"Yes","No",4,5,"Yes","Severe"
"BER-0079",2024-09-13,"Khagrachari","Panchhari","Community Forest Management Group",39,"Male","Chakma","Primary (Class 1-5)",5,11370,2,6.1,5,475,86.1,52,60,"Moderately increased","Occasional",2334,"Yes",1,7,13,3,4,"No","No",5,4,"No","Mild"
"BER-0080",2024-10-04,"Bandarban","Thanchi","Community Leader/Headman",37,"Male","Chakma","SSC/Equivalent",5,12252,4,12,9,401,68.6,37,51,"Moderately increased","Active",2433,"Yes",5,9,14,2,4,"No","No",4,2,"Yes","Mild"
"BER-0081",2024-11-28,"Khagrachari","Panchhari","Youth Eco-Entrepreneur",28,"Male","Murung","HSC/Equivalent",8,11009,3,1.5,6,430,63.7,89,95,"Slightly decreased","Occasional",2530,"No",1,14,19,3,5,"Yes","Yes",5,5,"Yes","Moderate"
"BER-0082",2024-09-27,"Rangamati","Belaichhari","Community Forest Management Group",54,"Female","Tanchangya","Primary (Class 1-5)",3,17018,4,5.3,7,332,79.1,35,44,"No change","Active",3196,"No",3,9,14,3,5,"No","No",4,4,"Yes","Moderate"
"BER-0083",2024-11-12,"Khagrachari","Khagrachari Sadar","Biodiversity Conservation Group (BCG)",51,"Male","Tanchangya","Secondary (Class 6-10)",5,9648,3,13.1,5,323,76.5,41,51,"No change","Active",1122,"No",6,8,9,3,2,"Yes","No",1,4,"Yes","Moderate"
"BER-0084",2024-09-13,"Rangamati","Naniarchar","Youth Eco-Entrepreneur",29,"Male","Marma","Secondary (Class 6-10)",6,22159,3,11,11,423,66.4,65,67,"No change","Not participating",3602,"No",0,14,16,3,4,"Yes","Yes",4,5,"No","No impact observed"
"BER-0085",2024-11-11,"Rangamati","Naniarchar","Youth Eco-Entrepreneur",61,"Female","Chakma","Secondary (Class 6-10)",6,10409,4,17.5,4,231,68.5,42,59,"No change","Occasional",3239,"Yes",3,13,16,2,5,"Under development","No",4,4,"Yes","Moderate"
"BER-0086",2024-10-04,"Rangamati","Kaptai","Biodiversity Conservation Group (BCG)",43,"Male","Tanchangya","HSC/Equivalent",5,10084,3,15.5,8,333,86.8,43,54,"No change","Occasional",4840,"No",5,9,13,5,2,"Yes","No",3,4,"No","No impact observed"
"BER-0087",2024-09-06,"Rangamati","Baghaichhari","Community Forest Management Group",38,"Female","Marma","SSC/Equivalent",4,15579,4,11.6,8,234,80.4,30,38,"Significantly increased","Not participating",5193,"No",3,12,13,3,4,"Yes","No",4,1,"Yes","Severe"
"BER-0088",2024-11-26,"Rangamati","Belaichhari","Forest Department Staff",27,"Female","Tripura","Secondary (Class 6-10)",6,9766,4,5,7,469,82.3,22,31,"Significantly increased","Active",3255,"Yes",2,9,11,4,5,"Yes","Yes",4,4,"Yes","Moderate"
"BER-0089",2024-11-04,"Rangamati","Belaichhari","Forest Department Staff",32,"Female","Murung","Secondary (Class 6-10)",4,11174,4,6.1,10,637,82.9,38,53,"Slightly decreased","Not participating",3256,"No",3,9,9,3,4,"Under development","No",3,1,"No","Mild"
"BER-0090",2024-11-01,"Bandarban","Naikhongchhari","Youth Eco-Entrepreneur",44,"Female","Tripura","SSC/Equivalent",5,18091,3,8,2,242,69.1,80,82,"Moderately increased","Not participating",3439,"Yes",1,15,19,3,4,"Under development","No",4,4,"Yes","Moderate"
"BER-0091",2024-09-24,"Khagrachari","Ramgarh","Biodiversity Conservation Group (BCG)",37,"Female","Murung","No formal education",5,15041,2,16.8,4,363,84.7,37,43,"Slightly decreased","Active",3375,"No",4,4,8,5,4,"Yes","No",5,5,"No","Moderate"
"BER-0092",2024-10-20,"Khagrachari","Panchhari","Youth Eco-Entrepreneur",30,"Female","Tanchangya","Graduate and above",4,20535,1,9.4,5,246,85.2,61,65,"Moderately increased","Active",3093,"No",1,13,18,3,4,"Under development","No",4,3,"No","Moderate"
"BER-0093",2024-11-15,"Rangamati","Rajasthali","Biodiversity Conservation Group (BCG)",47,"Male","Marma","HSC/Equivalent",8,7991,3,12.4,2,50,59.2,26,33,"Moderately increased","Active",3704,"No",2,4,9,4,4,"Yes","No",4,3,"No","Moderate"
"BER-0094",2024-11-13,"Khagrachari","Dighinala","Biodiversity Conservation Group (BCG)",60,"Male","Tripura","Primary (Class 1-5)",4,15251,4,6,10,504,82.8,36,60,"Moderately increased","Not participating",2910,"No",4,10,15,3,4,"Yes","No",3,5,"Yes","Moderate"
"BER-0095",2024-11-21,"Bandarban","Ruma","Biodiversity Conservation Group (BCG)",56,"Male","Tripura","Primary (Class 1-5)",3,12939,3,9.8,6,549,87.1,60,76,"Slightly decreased","Not participating",4650,"No",1,5,9,3,5,"Yes","No",3,5,"Yes","Severe"
"BER-0096",2024-09-18,"Bandarban","Rowangchhari","Community Leader/Headman",45,"Male","Chakma","Primary (Class 1-5)",5,12691,2,9.5,6,380,80.9,21,28,"Moderately increased","Not participating",2882,"Yes",4,7,9,5,5,"Yes","No",3,1,"No","Mild"
"BER-0097",2024-11-23,"Khagrachari","Dighinala","Biodiversity Conservation Group (BCG)",36,"Female","Tripura","Secondary (Class 6-10)",7,11897,4,13.7,10,282,79.3,38,52,"Significantly decreased","Not participating",591,"No",3,7,7,2,4,"No","No",3,4,"No","Mild"
"BER-0098",2024-10-09,"Khagrachari","Panchhari","Biodiversity Conservation Group (BCG)",39,"Female","Marma","Secondary (Class 6-10)",5,13825,4,10.2,4,219,89.2,30,47,"No change","Occasional",3135,"Yes",3,8,12,3,4,"Yes","No",5,4,"Yes","No impact observed"
"BER-0099",2024-10-22,"Bandarban","Naikhongchhari","Community Forest Management Group",43,"Male","Chakma","Primary (Class 1-5)",6,10594,1,7.1,7,541,71.4,42,42,"Significantly increased","Occasional",3767,"Yes",2,17,20,3,4,"No","No",4,5,"Yes","Mild"
